comparison,workload,revision,round,warmup,wall_ms,peak_rss_bytes,source_bytes
final,raw-deflate,1b916975,2,false,687.905,114147328,74201
final,raw-deflate,f16eea6b,2,false,280.973,86769664,74201
final,raw-deflate,f16eea6b,3,false,276.630,87392256,74201
final,raw-deflate,1b916975,3,false,693.986,114163712,74201
final,raw-deflate,1b916975,4,false,691.583,114147328,74201
final,raw-deflate,f16eea6b,4,false,280.791,87113728,74201
final,raw-deflate,f16eea6b,5,false,278.408,86294528,74201
final,raw-deflate,1b916975,5,false,698.689,116867072,74201
final,copies-4,1b916975,0,true,20.423,10469376,793
final,copies-4,f16eea6b,0,true,19.825,10567680,793
final,copies-4,f16eea6b,1,false,19.756,10567680,793
final,copies-4,1b916975,1,false,20.167,10567680,793
final,copies-4,1b916975,2,false,19.874,10469376,793
final,copies-4,f16eea6b,2,false,20.754,10502144,793
final,copies-4,f16eea6b,3,false,20.278,10518528,793
final,copies-4,1b916975,3,false,20.229,10534912,793
final,copies-4,1b916975,4,false,19.929,10616832,793
final,copies-4,f16eea6b,4,false,19.952,10715136,793
final,copies-4,f16eea6b,5,false,19.967,10682368,793
final,copies-4,1b916975,5,false,19.881,10584064,793
final,copies-8,1b916975,0,true,20.352,10780672,901
final,copies-8,f16eea6b,0,true,20.621,10797056,901
final,copies-8,f16eea6b,1,false,21.052,10829824,901
final,copies-8,1b916975,1,false,20.784,10797056,901
final,copies-8,1b916975,2,false,20.359,10878976,901
final,copies-8,f16eea6b,2,false,20.743,10813440,901
final,copies-8,f16eea6b,3,false,20.453,10862592,901
final,copies-8,1b916975,3,false,20.783,10862592,901
final,copies-8,1b916975,4,false,20.603,10862592,901
final,copies-8,f16eea6b,4,false,20.297,10797056,901
final,copies-8,f16eea6b,5,false,20.362,10829824,901
final,copies-8,1b916975,5,false,20.644,10764288,901
final,copies-16,1b916975,0,true,21.828,11534336,1131
final,copies-16,f16eea6b,0,true,21.857,11534336,1131
final,copies-16,f16eea6b,1,false,21.606,11583488,1131
final,copies-16,1b916975,1,false,22.318,11468800,1131
final,copies-16,1b916975,2,false,22.595,11534336,1131
final,copies-16,f16eea6b,2,false,21.854,11517952,1131
final,copies-16,f16eea6b,3,false,21.538,11583488,1131
final,copies-16,1b916975,3,false,21.507,11534336,1131
final,copies-16,1b916975,4,false,21.361,11681792,1131
final,copies-16,f16eea6b,4,false,21.791,11583488,1131
final,copies-16,f16eea6b,5,false,21.430,11501568,1131
final,copies-16,1b916975,5,false,21.417,11649024,1131
final,copies-32,1b916975,0,true,23.728,13205504,1595
final,copies-32,f16eea6b,0,true,25.639,13123584,1595
final,copies-32,f16eea6b,1,false,25.732,13107200,1595
final,copies-32,1b916975,1,false,25.518,13221888,1595
final,copies-32,1b916975,2,false,25.280,13189120,1595
final,copies-32,f16eea6b,2,false,26.366,13123584,1595
final,copies-32,f16eea6b,3,false,25.577,13205504,1595
final,copies-32,1b916975,3,false,23.873,13205504,1595
final,copies-32,1b916975,4,false,23.839,13205504,1595
final,copies-32,f16eea6b,4,false,25.470,13189120,1595
final,copies-32,f16eea6b,5,false,25.315,13189120,1595
final,copies-32,1b916975,5,false,23.795,13156352,1595
final,outcomes-4,1b916975,0,true,20.903,10911744,849
final,outcomes-4,f16eea6b,0,true,20.705,10797056,849
final,outcomes-4,f16eea6b,1,false,20.144,10764288,849
final,outcomes-4,1b916975,1,false,21.353,10895360,849
final,outcomes-4,1b916975,2,false,21.487,11010048,849
final,outcomes-4,f16eea6b,2,false,20.537,10780672,849
final,outcomes-4,f16eea6b,3,false,20.271,10829824,849
final,outcomes-4,1b916975,3,false,20.909,10911744,849
final,outcomes-4,1b916975,4,false,21.065,11042816,849
final,outcomes-4,f16eea6b,4,false,20.540,10862592,849
final,outcomes-4,f16eea6b,5,false,20.391,11042816,849
final,outcomes-4,1b916975,5,false,21.394,10944512,849
final,outcomes-8,1b916975,0,true,25.454,12763136,1013
final,outcomes-8,f16eea6b,0,true,22.254,11976704,1013
final,outcomes-8,f16eea6b,1,false,21.770,11845632,1013
final,outcomes-8,1b916975,1,false,25.268,12713984,1013
final,outcomes-8,1b916975,2,false,25.115,12795904,1013
final,outcomes-8,f16eea6b,2,false,22.176,11862016,1013
final,outcomes-8,f16eea6b,3,false,21.811,12009472,1013
final,outcomes-8,1b916975,3,false,25.226,12746752,1013
final,outcomes-8,1b916975,4,false,25.287,12845056,1013
final,outcomes-8,f16eea6b,4,false,21.953,11993088,1013
final,outcomes-8,f16eea6b,5,false,21.949,11993088,1013
final,outcomes-8,1b916975,5,false,25.730,12763136,1013
final,outcomes-16,1b916975,0,true,63.028,20332544,1349
final,outcomes-16,f16eea6b,0,true,29.148,16007168,1349
final,outcomes-16,f16eea6b,1,false,28.224,16039936,1349
final,outcomes-16,1b916975,1,false,61.832,20168704,1349
final,outcomes-16,1b916975,2,false,61.682,20348928,1349
final,outcomes-16,f16eea6b,2,false,28.329,15859712,1349
