round	shape	depth	words	reps	impl	threads	seconds	exit	output
17	bal	10	192	2850	rs_seq	0	0.599420	0	41f43bcaafe3d6ba
17	bal	10	192	2850	rs_rayon	2	0.318387	0	41f43bcaafe3d6ba
17	bal	10	192	2850	rs_rayon	4	0.173837	0	41f43bcaafe3d6ba
17	bal	10	192	2850	rs_rayon	8	0.156834	0	41f43bcaafe3d6ba
17	bal	10	192	2850	rs_rayon	default	0.183462	0	41f43bcaafe3d6ba
17	bal	10	192	2850	rs_cut	2	0.309773	0	41f43bcaafe3d6ba
17	bal	10	192	2850	rs_cut	4	0.169802	0	41f43bcaafe3d6ba
17	bal	10	192	2850	rs_cut	8	0.156474	0	41f43bcaafe3d6ba
17	bal	12	16	6300	wf_seq	0	0.575719	0	41c980c678512691
17	bal	12	16	6300	wf_par	1	0.614589	0	41c980c678512691
17	bal	12	16	6300	wf_par	2	0.330518	0	41c980c678512691
17	bal	12	16	6300	wf_par	4	0.183193	0	41c980c678512691
17	bal	12	16	6300	wf_par	8	0.178420	0	41c980c678512691
17	bal	12	16	6300	wf_par	default	0.189371	0	41c980c678512691
17	bal	12	16	6300	rs_seq	0	0.607925	0	41c980c678512691
17	bal	12	16	6300	rs_rayon	2	0.370754	0	41c980c678512691
17	bal	12	16	6300	rs_rayon	4	0.215146	0	41c980c678512691
17	bal	12	16	6300	rs_rayon	8	0.266177	0	41c980c678512691
17	bal	12	16	6300	rs_rayon	default	0.385787	0	41c980c678512691
17	bal	12	16	6300	rs_cut	2	0.356174	0	41c980c678512691
17	bal	12	16	6300	rs_cut	4	0.190824	0	41c980c678512691
17	bal	12	16	6300	rs_cut	8	0.236936	0	41c980c678512691
17	bal	12	64	2000	wf_seq	0	0.551050	0	41f7c761152494df
17	bal	12	64	2000	wf_par	1	0.608089	0	41f7c761152494df
17	bal	12	64	2000	wf_par	2	0.324071	0	41f7c761152494df
17	bal	12	64	2000	wf_par	4	0.172717	0	41f7c761152494df
17	bal	12	64	2000	wf_par	8	0.137945	0	41f7c761152494df
17	bal	12	64	2000	wf_par	default	0.134654	0	41f7c761152494df
17	bal	12	64	2000	rs_seq	0	0.515108	0	41f7c761152494df
17	bal	12	64	2000	rs_rayon	2	0.277227	0	41f7c761152494df
17	bal	12	64	2000	rs_rayon	4	0.149742	0	41f7c761152494df
17	bal	12	64	2000	rs_rayon	8	0.150198	0	41f7c761152494df
17	bal	12	64	2000	rs_rayon	default	0.185823	0	41f7c761152494df
17	bal	12	64	2000	rs_cut	2	0.292831	0	41f7c761152494df
17	bal	12	64	2000	rs_cut	4	0.151403	0	41f7c761152494df
17	bal	12	64	2000	rs_cut	8	0.160255	0	41f7c761152494df
17	bal	12	192	700	wf_seq	0	0.634391	0	42143db997dbfda3
17	bal	12	192	700	wf_par	1	0.764480	0	42143db997dbfda3
17	bal	12	192	700	wf_par	2	0.397828	0	42143db997dbfda3
17	bal	12	192	700	wf_par	4	0.205279	0	42143db997dbfda3
17	bal	12	192	700	wf_par	8	0.145353	0	42143db997dbfda3
17	bal	12	192	700	wf_par	default	0.129825	0	42143db997dbfda3
17	bal	12	192	700	rs_seq	0	0.594226	0	42143db997dbfda3
17	bal	12	192	700	rs_rayon	2	0.315576	0	42143db997dbfda3
17	bal	12	192	700	rs_rayon	4	0.164291	0	42143db997dbfda3
17	bal	12	192	700	rs_rayon	8	0.130712	0	42143db997dbfda3
17	bal	12	192	700	rs_rayon	default	0.129959	0	42143db997dbfda3
17	bal	12	192	700	rs_cut	2	0.304493	0	42143db997dbfda3
17	bal	12	192	700	rs_cut	4	0.157698	0	42143db997dbfda3
