tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,mix,c_box,measure,8,1048576,0,1.660346985,4089074471490317165,0,0,0,4608,4096,4096,0.001741000
L1,8,512,0.500,mix,d_folded,measure,8,1048576,0,1.742362976,4089074471490317165,0,0,0,8704,0,4096,0.001827000
L1,8,512,0.500,mix,e_proved,measure,8,1048576,0,1.722335815,4089074471490317165,0,0,0,12800,0,4096,0.001806000
L1,8,512,0.500,mix,a_raw,measure,9,1048576,0,1.745223999,4279491880415652796,0,0,0,8704,0,4096,0.001830000
L1,8,512,0.500,mix,e_proved,measure,9,1048576,0,1.733779907,4279491880415652796,0,0,0,12800,0,4096,0.001818000
L1,8,512,0.500,mix,d_folded,measure,9,1048576,0,1.729965210,4279491880415652796,0,0,0,8704,0,4096,0.001814000
L1,8,512,0.500,mix,c_box,measure,9,1048576,0,1.659393311,4279491880415652796,0,0,0,4608,4096,4096,0.001740000
L1,8,512,0.500,mix,b_tag,measure,9,1048576,0,1.731872559,4279491880415652796,0,0,0,12800,0,4096,0.001816000
L1,8,512,0.500,mix,c_box,measure,10,1048576,0,1.661300659,14998959886003229137,0,0,0,4608,4096,4096,0.001742000
L1,8,512,0.500,mix,d_folded,measure,10,1048576,0,1.730918884,14998959886003229137,0,0,0,8704,0,4096,0.001815000
L1,8,512,0.500,mix,e_proved,measure,10,1048576,0,1.713752747,14998959886003229137,0,0,0,12800,0,4096,0.001797000
L1,8,512,0.500,mix,a_raw,measure,10,1048576,0,1.732826233,14998959886003229137,0,0,0,8704,0,4096,0.001817000
L1,8,512,0.500,mix,b_tag,measure,10,1048576,0,1.717567444,14998959886003229137,0,0,0,12800,0,4096,0.001801000
L1,8,512,0.500,mix,c_box,measure,11,1048576,0,1.663208008,2990943890465975849,0,0,0,4608,4096,4096,0.001744000
L1,8,512,0.500,mix,b_tag,measure,11,1048576,0,1.733779907,2990943890465975849,0,0,0,12800,0,4096,0.001818000
L1,8,512,0.500,mix,a_raw,measure,11,1048576,0,1.770019531,2990943890465975849,0,0,1,8704,0,4096,0.001856000
L1,8,512,0.500,mix,e_proved,measure,11,1048576,0,1.719474792,2990943890465975849,0,0,0,12800,0,4096,0.001803000
L1,8,512,0.500,mix,d_folded,measure,11,1048576,0,1.733779907,2990943890465975849,0,0,0,8704,0,4096,0.001818000
