tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,mix,d_folded,measure,5,1048576,0,1.826087952,15687876307765262824,0,0,0,8704,0,4096,0.001914792
L1,8,512,0.500,mix,c_box,measure,5,1048576,0,1.752933502,15687876307765262824,0,0,0,4608,4096,4096,0.001838084
L1,8,512,0.500,mix,d_folded,measure,6,1048576,0,1.779794693,10282278041739299543,0,0,0,8704,0,4096,0.001866250
L1,8,512,0.500,mix,e_proved,measure,6,1048576,0,1.736481667,10282278041739299543,0,0,0,12800,0,4096,0.001820833
L1,8,512,0.500,mix,a_raw,measure,6,1048576,0,1.750430107,10282278041739299543,0,0,0,8704,0,4096,0.001835459
L1,8,512,0.500,mix,b_tag,measure,6,1048576,0,1.752774239,10282278041739299543,0,0,0,12800,0,4096,0.001837917
L1,8,512,0.500,mix,c_box,measure,6,1048576,0,1.667022705,10282278041739299543,0,0,0,4608,4096,4096,0.001748000
L1,8,512,0.500,mix,d_folded,measure,7,1048576,0,1.768589020,828964424290456953,0,0,1,8704,0,4096,0.001854500
L1,8,512,0.500,mix,c_box,measure,7,1048576,0,1.677235603,828964424290456953,0,0,0,4608,4096,4096,0.001758709
L1,8,512,0.500,mix,b_tag,measure,7,1048576,0,1.787225723,828964424290456953,0,0,0,12800,0,4096,0.001874042
L1,8,512,0.500,mix,a_raw,measure,7,1048576,0,1.754959106,828964424290456953,0,0,0,8704,0,4096,0.001840208
L1,8,512,0.500,mix,e_proved,measure,7,1048576,0,1.739064217,828964424290456953,0,0,0,12800,0,4096,0.001823541
L1,8,512,0.500,mix,a_raw,measure,8,1048576,0,1.789967537,4089074471490317165,0,0,1,8704,0,4096,0.001876917
L1,8,512,0.500,mix,b_tag,measure,8,1048576,0,1.795967102,4089074471490317165,0,0,0,12800,0,4096,0.001883208
L1,8,512,0.500,mix,c_box,measure,8,1048576,0,1.752972603,4089074471490317165,0,0,0,4608,4096,4096,0.001838125
L1,8,512,0.500,mix,d_folded,measure,8,1048576,0,1.817186356,4089074471490317165,0,0,1,8704,0,4096,0.001905458
L1,8,512,0.500,mix,e_proved,measure,8,1048576,0,1.748522758,4089074471490317165,0,0,0,12800,0,4096,0.001833459
L1,8,512,0.500,mix,a_raw,measure,9,1048576,0,1.756628036,4279491880415652796,0,0,0,8704,0,4096,0.001841958
L1,8,512,0.500,mix,e_proved,measure,9,1048576,0,1.816829681,4279491880415652796,0,0,1,12800,0,4096,0.001905084
L1,8,512,0.500,mix,d_folded,measure,9,1048576,0,1.828630447,4279491880415652796,0,0,0,8704,0,4096,0.001917458
L1,8,512,0.500,mix,c_box,measure,9,1048576,0,1.744587898,4279491880415652796,0,0,0,4608,4096,4096,0.001829333
L1,8,512,0.500,mix,b_tag,measure,9,1048576,0,1.772006035,4279491880415652796,0,0,0,12800,0,4096,0.001858083
L1,8,512,0.500,mix,c_box,measure,10,1048576,0,1.723687172,14998959886003229137,0,0,0,4608,4096,4096,0.001807417
L1,8,512,0.500,mix,d_folded,measure,10,1048576,0,1.845717430,14998959886003229137,0,0,0,8704,0,4096,0.001935375
L1,8,512,0.500,mix,e_proved,measure,10,1048576,0,1.779754639,14998959886003229137,0,0,0,12800,0,4096,0.001866208
L1,8,512,0.500,mix,a_raw,measure,10,1048576,0,1.797596931,14998959886003229137,0,0,0,8704,0,4096,0.001884917
L1,8,512,0.500,mix,b_tag,measure,10,1048576,0,1.836299896,14998959886003229137,0,0,1,12800,0,4096,0.001925500
L1,8,512,0.500,mix,c_box,measure,11,1048576,0,1.746813774,2990943890465975849,0,0,0,4608,4096,4096,0.001831667
L1,8,512,0.500,mix,b_tag,measure,11,1048576,0,1.815994263,2990943890465975849,0,0,0,12800,0,4096,0.001904208
L1,8,512,0.500,mix,a_raw,measure,11,1048576,0,1.761713982,2990943890465975849,0,0,0,8704,0,4096,0.001847291
L1,8,512,0.500,mix,e_proved,measure,11,1048576,0,1.718561172,2990943890465975849,0,0,0,12800,0,4096,0.001802042
L1,8,512,0.500,mix,d_folded,measure,11,1048576,0,1.735607147,2990943890465975849,0,0,0,8704,0,4096,0.001819916
