target	suite	case	workers	variant/research	pairs	wall_median	wall_min	wall_max	cpu_median	rss_median	switches_delta_median
linux-arm64	fir	4096-1024	2	replica	5	1.0042	0.9963	1.0350	1.0069	1.0000	2
linux-arm64	fir	65536-16	2	old	5	0.9986	0.9937	1.0048	0.9946	1.0000	8
linux-arm64	fir	65536-16	2	research-off	5	0.9884	0.9810	0.9991	0.9893	1.0007	-4
linux-arm64	fir	65536-16	2	replica	5	1.0002	0.9845	1.0034	1.0005	0.9971	-6
linux-arm64	fir	65536-64	2	old	5	1.0020	0.9903	1.0045	1.0004	1.0222	-3
linux-arm64	fir	65536-64	2	research-off	5	0.9939	0.9933	1.0117	0.9968	1.0000	-6
linux-arm64	fir	65536-64	2	replica	5	1.0027	0.9944	1.0058	1.0024	1.0214	-3
linux-arm64	fir	65536-1024	2	old	5	1.0084	1.0007	1.0373	1.0133	0.9976	-1
linux-arm64	fir	65536-1024	2	research-off	5	0.9984	0.9841	1.0049	1.0008	1.0000	0
linux-arm64	fir	65536-1024	2	replica	5	0.9877	0.9746	1.0099	0.9981	0.9984	-2
linux-arm64	mandelbrot	0-4096	2	old	5	0.9946	0.9361	1.0041	0.9949	1.0000	0
linux-arm64	mandelbrot	0-4096	2	research-off	5	0.9899	0.9381	1.0061	0.9994	1.0000	0
linux-arm64	mandelbrot	0-4096	2	replica	5	0.9976	0.9355	1.0064	0.9995	1.0000	0
linux-arm64	mandelbrot	0-65536	2	old	5	1.0007	0.9977	1.0007	1.0002	1.0032	0
linux-arm64	mandelbrot	0-65536	2	research-off	5	0.9998	0.9967	1.0023	1.0000	1.0000	2
linux-arm64	mandelbrot	0-65536	2	replica	5	1.0017	0.9971	1.0138	1.0002	0.9979	3
linux-arm64	mandelbrot	1-4096	2	old	5	0.9978	0.9954	1.0013	0.9981	1.0000	0
linux-arm64	mandelbrot	1-4096	2	research-off	5	1.0008	0.9954	1.0038	1.0013	0.9927	0
