trial,contract,element_bytes,path,capacity,count,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_c,null_normalized,ab_raw,ab_c,ab_normalized,a_wf_c,b_wf_c,null_staged,ab_staged,a_wf_staged,b_wf_staged
replay,normal,256,edit-first-word,64,56,0,32000,0.133194588969823,0.133194588969823,1.01818181818182,1,1.02127659574468,0.963636363636364,1,0.962962962962963,1.125,1.10416666666667,,,,
replay,normal,256,edit-first-word,64,56,1,32000,0.133194588969823,0.133194588969823,1.02040816326531,1,1.00192901234568,0.981132075471698,1,0.981132075471698,1.125,1.10416666666667,,,,
replay,retained,8,grow,4096,3584,0,319000,0.0126181717495353,0.03,1,1.00914634146341,1.0169014084507,0.911392405063291,0.936962750716332,0.968311396668954,1.10481586402266,1.07951070336391,1.00771208226221,0.932367149758454,0.921241050119332,0.894206549118388
replay,retained,8,grow,4096,3584,1,319000,0.0126181717495353,0.03,0.997198879551821,1.01234567901235,0.977900552486188,0.988919667590028,0.993808049535604,0.992069662571917,1.08510638297872,1.07668711656442,0.997340425531915,1.00512820512821,0.915384615384615,0.900763358778626
replay,retained,8,rehash,4096,3584,0,778000,0.0051546306372563,0.03,0.996268656716418,0.998795180722892,0.99645559042251,0.925320886814469,0.924754634678299,0.997656791230286,1.0175644028103,1.01061320754717,1.00119760479042,0.921891058581706,0.93969298245614,0.942794279427943
replay,retained,8,rehash,4096,3584,1,778000,0.0051546306372563,0.03,1.02007528230866,1.01637279596977,1.0036428428167,1.00126103404792,0.998740554156171,0.996285823940849,1.01406649616368,1.01008827238335,1.01418439716312,1,0.942925089179548,0.941769316909295
replay,retained,8,setup-cleanup,4096,3584,0,151000,0.0268444444444447,0.0357142857142858,1,1,1.00653594771242,0.917127071823204,0.933333333333333,0.983464622808885,1.10909090909091,1.09210526315789,,,,
replay,retained,8,setup-cleanup,4096,3584,1,151000,0.0268444444444447,0.0357142857142858,1.03571428571429,1.03225806451613,1.00887573964497,0.988235294117647,0.993589743589744,0.989098998887653,1.11038961038961,1.09803921568627,,,,
replay,retained,8,replace,64,56,0,60000,0.0689457052571099,0.0689457052571099,1.01941747572816,1.0253164556962,0.98059866962306,1,0.987951807228916,1.01149425287356,1.28888888888889,1.26436781609195,,,,
replay,retained,8,replace,64,56,1,60000,0.0689457052571099,0.0689457052571099,1,1.02564102564103,0.99375,1.06796116504854,1,1.04938271604938,1.28395061728395,1.34146341463415,,,,
replay,retained,8,churn,64,56,0,311000,0.0129448491155044,0.0333333333333334,1.00294117647059,1.00310559006211,0.9985586677316,0.946632782719187,0.950146627565982,0.985213347516864,1.01233045622688,1.0297157622739,,,,
replay,retained,8,churn,64,56,1,311000,0.0129448491155044,0.0333333333333334,1.03333333333333,1.01875,1.01452717290729,1.01340482573727,0.991044776119403,1.01895013258125,1.01336898395722,1.03419972640219,,,,
replay,retained,8,hit,64,56,0,63000,0.0655567117585847,0.0655567117585847,1,1,1.00347222222222,0.942528735632184,0.957142857142857,0.986367281475541,0.961038961038961,0.942857142857143,,,,
replay,retained,8,hit,64,56,1,63000,0.0655567117585847,0.0655567117585847,1.03448275862069,1.02040816326531,1.01719901719902,1.02941176470588,0.977011494252874,1.04923747276688,0.942028985507246,0.986301369863014,,,,
replay,retained,8,edit-first-word,64,56,0,65000,0.0634765625,0.0634765625,1,1,0.970588235294118,0.945205479452055,0.957746478873239,1.00108342361863,0.99,1,,,,
replay,retained,8,edit-first-word,64,56,1,65000,0.0634765625,0.0634765625,1,1,1.0218878248974,0.984848484848485,0.986111111111111,0.988095238095238,1.01204819277108,1,,,,
replay,retained,256,grow,4096,3584,0,551000,0.00728595041322322,0.0419651995905834,0.958034800409417,0.962264150943396,0.995739326239569,0.797071129707113,0.98272884283247,0.779853503504581,1.63481228668942,1.2849915682968,0.918156161806209,0.98552036199095,0.890497737556561,0.705179282868526
replay,retained,256,grow,4096,3584,1,551000,0.00728595041322322,0.0419651995905834,1.00087260034904,1.00711743772242,0.993799295752934,0.758658008658009,0.989247311827957,0.76116959948589,1.66786355475763,1.26523297491039,0.996938775510204,0.997948717948718,0.954045954045954,0.725590955806783
replay,retained,256,rehash,4096,3584,0,1042000,0.00384615029699731,0.03,1,0.99728014505893,1.00095510983763,0.905606813342796,1.00470809792844,0.911369475141044,1.2683615819209,1.14088159031979,1.0020325203252,1.01489505754909,0.951841359773371,0.85016501650165
replay,retained,256,rehash,4096,3584,1,1042000,0.00384615029699731,0.03,0.99713672154617,1.0009009009009,0.99235360153959,0.903316866619619,1.00089126559715,0.903229650132003,1.27756653992395,1.14783427495292,0.998648648648649,1.00067934782609,0.955571227080395,0.859174964438122
replay,retained,256,setup-cleanup,4096,3584,0,329000,0.0122323022010709,0.03,1.00378787878788,0.997005988023952,1.0057361376673,0.864761904761905,1.0030303030303,0.863339070567986,1.59090909090909,1.36826347305389,,,,
replay,retained,256,setup-cleanup,4096,3584,1,329000,0.0122323022010709,0.03,0.99812030075188,1,0.996978851963746,0.878095238095238,1.00302114803625,0.865019011406844,1.58258258258258,1.37462235649547,,,,
replay,retained,256,replace,64,56,0,249000,0.0161940686784598,0.0404354587869362,0.959564541213064,0.962121212121212,0.993467299237438,0.896499238964992,0.96309963099631,0.9568926244818,2.32302405498282,2.20664206642066,,,,
replay,retained,256,replace,64,56,1,249000,0.0161940686784598,0.0404354587869362,1.02702702702703,1.03076923076923,0.9968699000408,0.937806873977087,1,0.938809178042405,2.30970149253731,2.15867158671587,,,,
replay,retained,256,churn,64,56,0,527000,0.00761902008125004,0.0377358490566038,0.962264150943396,0.970642201834862,0.994721915720406,1.00620567375887,1.01876955161627,0.973279950024136,1.30021367521368,1.29008438818565,,,,
replay,retained,256,churn,64,56,1,527000,0.00761902008125004,0.0377358490566038,1.0008896797153,1.0054704595186,0.996988933250107,0.974226804123711,0.972162740899358,1.0076388576231,1.2441113490364,1.26251390433815,,,,
replay,retained,256,hit,64,56,0,65000,0.0634765625,0.0634765625,0.988095238095238,0.979166666666667,0.993626991565136,0.907894736842105,0.923076923076923,0.974988312295465,0.948453608247423,0.924731182795699,,,,
replay,retained,256,hit,64,56,1,65000,0.0634765625,0.0634765625,1.04615384615385,1.01904761904762,1.02289562289562,1,1.02127659574468,0.96,0.957894736842105,0.921052631578947,,,,
replay,retained,256,edit-first-word,64,56,0,68000,0.0605925595901093,0.0605925595901093,0.988636363636364,0.975609756097561,0.978208812260536,1.05797101449275,1.02061855670103,1.0063599745601,0.931506849315068,0.98989898989899,,,,
replay,retained,256,edit-first-word,64,56,1,68000,0.0605925595901093,0.0605925595901093,1,1,1.01111111111111,0.967032967032967,0.975,0.979591836734694,0.98876404494382,1,,,,
