cohort,contract,path,variant,sample,calls,rounds,elapsed_ns,checksum,requests,peak_bytes
1,normal,growth,whitefoot,10,64,512,13181000,9906042209678861216,262144,768
1,normal,growth,legacy-c,11,64,512,9263000,14360851013316879328,262144,768
1,normal,growth,whitefoot,11,64,512,13046000,14360851013316879328,262144,768
1,normal,growth,matched-c,11,64,512,9198000,14360851013316879328,262144,768
1,normal,growth,whitefoot,12,64,512,13212000,368915743245345824,262144,768
1,normal,growth,matched-c,12,64,512,9086000,368915743245345824,262144,768
1,normal,growth,legacy-c,12,64,512,9172000,368915743245345824,262144,768
1,normal,growth,matched-c,13,64,512,9189000,4823724546883363936,262144,768
1,normal,growth,legacy-c,13,64,512,9180000,4823724546883363936,262144,768
1,normal,growth,whitefoot,13,64,512,13224000,4823724546883363936,262144,768
1,normal,growth,legacy-c,14,64,512,9144000,9278533350521382048,262144,768
1,normal,growth,whitefoot,14,64,512,13175000,9278533350521382048,262144,768
1,normal,growth,matched-c,14,64,512,9208000,9278533350521382048,262144,768
