run,comparison,cohort,arm,image,contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,avl-c,4,1024,1,368000,5867564153249226782,8200,328000,8,320
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,avl-c,5,1024,1,372000,2941353795540808426,8200,328000,8,320
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,direct-c,5,1024,1,220000,2941353795540808426,1,376,1,376
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,source-c,5,1024,1,292000,2941353795540808426,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,whitefoot,5,1024,1,278000,2941353795540808426,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,whitefoot,0,32,1,886000,15045687812456274234,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,source-c,0,32,1,1226000,15045687812456274234,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,direct-c,0,32,1,800000,15045687812456274234,93,34968,33,12408
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,avl-c,0,32,1,1153000,15045687812456274234,8448,337920,256,10240
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,avl-c,1,32,1,1126000,9593112806538463411,8448,337920,256,10240
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,direct-c,1,32,1,766000,9593112806538463411,93,34968,33,12408
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,source-c,1,32,1,1192000,9593112806538463411,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,whitefoot,1,32,1,943000,9593112806538463411,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,whitefoot,2,32,1,775000,6821874709816505565,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,source-c,2,32,1,1175000,6821874709816505565,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,direct-c,2,32,1,769000,6821874709816505565,93,34968,33,12408
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,avl-c,2,32,1,1117000,6821874709816505565,8448,337920,256,10240
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,avl-c,3,32,1,1001000,11996525847546410767,8448,337920,256,10240
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,direct-c,3,32,1,771000,11996525847546410767,93,34968,33,12408
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,source-c,3,32,1,1220000,11996525847546410767,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,whitefoot,3,32,1,940000,11996525847546410767,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,whitefoot,4,32,1,773000,8314424461268026747,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,source-c,4,32,1,1225000,8314424461268026747,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,direct-c,4,32,1,753000,8314424461268026747,93,34968,33,12408
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,avl-c,4,32,1,1109000,8314424461268026747,8448,337920,256,10240
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,avl-c,5,32,1,981000,11994638494413553215,8448,337920,256,10240
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,direct-c,5,32,1,721000,11994638494413553215,93,34968,33,12408
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,source-c,5,32,1,1176000,11994638494413553215,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,256,whitefoot,5,32,1,906000,11994638494413553215,36,18144,33,16632
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,whitefoot,0,2,1,1735000,2274382621178134555,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,source-c,0,2,1,1894000,2274382621178134555,563,283752,562,283248
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,direct-c,0,2,1,1779000,2274382621178134555,366,137616,366,137616
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,4096,avl-c,0,2,1,1897000,2274382621178134555,12288,491520,4096,163840
